Vall,lower_state_fit,middle_state_fit,higher_state_fit,transmon_fit
-2.71161938,3.5179568904523504,4.3837067227491175,5.48519089788363,5.469508052019155
-2.6990183774937346,3.5179097857957395,4.3834551327918705,5.4638229947450325,5.447888559044902
-2.6864173749874687,3.5178603615034447,4.383186492187591,5.441913741169814,5.425710664986427
-2.673816372481203,3.51780848571433,4.382899260390168,5.419461695888716,5.4029713880283605
-2.6612153699749377,3.5177540151974283,4.382591698822276,5.396465473623278,5.379667604314916
-2.6486143674686717,3.5176967941417328,4.382261838607326,5.372923770450991,5.355796041046995
-2.6360133649624062,3.5176366527860767,4.381907441821866,5.348835395206283,5.331353269135575
-2.6234123624561403,3.5175734058640225,4.381525954715222,5.324199308437663,5.306335695378489
-2.610811359949875,3.5175068508340446,4.381114450907772,5.299014670873673,5.280739554124658
-2.5982103574436093,3.5174367658597667,4.380669562003368,5.273280903922935,5.254560898386555
-2.5856093549373433,3.5173629074981756,4.380187392283752,5.246997765497482,5.2277955903579585
-2.573008352431078,3.517285008045512,4.37966341312113,5.22016544547624,5.200439291289995
-2.5604073499248123,3.517202772480336,4.37909233134616,5.192784686519832,5.17248745067395
-2.5478063474185464,3.517115874930776,4.378467923895022,5.164856937856524,5.143935294674268
-2.535205344912281,3.5170239545774677,4.377782828416678,5.136384552295987,5.1147778137495825
-2.522604342406015,3.516926610884361,4.377028275837277,5.10737104040551,5.085009749393329
-2.5100033398997494,3.5168233980254477,4.376193745691126,5.077821400963837,5.0546255799185635
-2.497402337393484,3.516713818345007,4.375266517650887,5.047742554176738,5.023619505203714
-2.484801334887218,3.516597314650495,4.374231082095142,5.017143914724152,4.9919854303073015
-2.4722003323809525,3.5164732610880503,4.373068357191496,4.986038157058964,4.959716947849816
-2.459599329874687,3.516340952287659,4.3717546375115885,4.954442247828049,4.926807319049774
-2.446998327368421,3.5161995903836387,4.370260166117922,4.922378853350396,4.893249453288669
-2.4343973248621555,3.51604826941019,4.368547173158922,4.889878278976355,4.8590358860652705
-2.42179632235589,3.5158859564329177,4.366567151788377,4.856981169356445,4.824158755183889
