4.327350585213505796e-01,-5.252343745533287478e-03,1.198476385841093506e-02,-1.283931550879299777e-02,1.714830030540873129e-02,-1.103579599643273595e-02,1.415679384245569633e-02,-6.748680883295303176e-03,1.438483515516220806e-02,-1.092822934457957779e-02,1.305205312804287587e-02,-1.017199238062992811e-02,1.299357527245294935e-02,-7.993470031716437552e-03
9.266968158414792128e-03,4.046003745861158074e-01,1.072502460783993083e-02,-1.345656705098260270e-02,1.080361837306397649e-02,-1.498193323465910054e-02,7.772611307867651961e-03,-1.167106630177248278e-02,1.158699838424128575e-02,-1.511271513979304745e-02,1.010978887765155709e-02,-1.114596969452177899e-02,8.516981816238493319e-03,-1.071891913994149625e-02
-5.222511123922181538e-03,-4.111477219011017321e-03,4.284253238439603706e-01,-4.418724011498896195e-03,7.356979609926982654e-03,-2.952410458393777293e-03,6.697972194421297591e-03,-1.147903446846854254e-03,-4.809322406078061357e-03,-3.821402290480519631e-03,8.777265696219603910e-03,-3.032294716753865076e-03,5.632568577217528238e-03,-1.926742077973961006e-03
5.359896622978220504e-03,4.896145023217219130e-03,3.739679270079143171e-03,3.898151747760419394e-01,3.029770650117982224e-03,-6.900140336634406901e-03,1.447008912759650909e-03,-6.032417187436805647e-03,4.647737439339752821e-03,3.245865658840188690e-03,3.115239629830637846e-03,-9.500598548292618628e-03,2.168670254061113439e-03,-4.687368737377232975e-03
-5.493520008491289269e-03,-3.777866457190987709e-03,-5.158756227816680903e-03,1.334102349747877999e-03,4.330191191783323568e-01,3.296991821029370776e-03,1.453844745201254146e-03,3.533494459032735305e-03,-6.100564582751302235e-03,6.708432454069845159e-04,-8.613276432297679863e-03,1.752702526252842164e-03,3.790373861574945161e-03,2.452465838541884394e-03
2.987291734845310895e-03,3.888980957055806348e-03,-1.592314576446007303e-03,6.181169816591555038e-03,-3.492118074596074762e-03,3.936994289665450286e-01,-4.074482329618853843e-03,-2.083853120388688696e-03,-5.798275241987466827e-04,5.143369257014647478e-03,-2.496471883519186738e-03,7.529828716671724265e-03,-3.199292864849431067e-03,-5.526028527639764015e-03
-7.445135958587908130e-03,-3.479778296459260564e-03,-1.161935863426760002e-02,8.787974387098707735e-03,-1.359475305948219109e-02,1.065040976349905869e-02,4.255340278299726831e-01,9.439321866479648965e-03,-1.264464753804051336e-02,6.452112109847498583e-03,-1.217131187432593173e-02,7.988102370768190852e-03,-1.500511344478727173e-02,8.243730074300608529e-03
1.312193294113620304e-03,4.361561020393285928e-03,-8.958364342295875582e-03,1.693417792948375550e-02,-1.437930352583412924e-02,1.674952003852882287e-02,-1.398425794158174307e-02,4.057340963952167368e-01,-7.445138750009093476e-03,1.348899828594524175e-02,-1.114586121847028002e-02,1.383953026600964753e-02,-1.226392796108104720e-02,1.634286923074883963e-02
4.003448965183387803e-03,3.202346870647606106e-03,-9.704973997026409768e-03,7.285589147117857260e-03,-1.020067857111234960e-02,6.065481997841513581e-03,-8.807059408837625974e-03,3.507283072651332795e-03,3.273943989366229768e-01,5.785673047519016357e-03,-8.244773444683830069e-03,5.369763221984829443e-03,-7.852933001070747099e-03,4.244149768020917708e-03
1.249087616190040686e-03,4.698199422126807592e-03,5.221230356925005492e-03,-7.672053779633094053e-03,5.404767452676735931e-03,-8.527625773179470584e-03,2.830965714753303376e-03,-7.821715714353336818e-03,6.735822392191653102e-03,3.241082404844251030e-01,5.553077679805298872e-03,-5.544330861424908927e-03,1.964715542948213423e-03,-5.790816523450630776e-03
4.256830457148138430e-03,2.799782779962177101e-03,3.190243815646182264e-03,5.337666727663400047e-04,-5.445388785612730043e-03,-3.385323001030317303e-04,-3.251171783990989932e-03,-1.071963258773107972e-03,3.564682641231981149e-03,6.712883757062993242e-04,3.363337668675588366e-01,1.160886224782412381e-04,-2.622271227488251130e-03,-4.605679181475990161e-04
3.046666001139106128e-03,3.044652644970408800e-03,9.125611817707296458e-04,3.038543582563290463e-03,5.879087896799528264e-06,-5.346258711821386123e-03,-5.124687039693293089e-04,-3.125962081009178023e-03,1.625895264195219986e-03,2.392598526011016982e-03,4.889834094919660694e-04,3.054181174027243428e-01,3.395189892935225606e-04,-2.456734225030722703e-03
4.178484785593079842e-03,1.850987266410874816e-03,6.594017663053459988e-03,-1.464604648812889908e-03,8.806500521849874169e-03,-5.291279389851012011e-03,-1.824201993049656082e-03,-4.739574107917809975e-03,6.966481922262405396e-03,-7.565731564477574944e-05,8.972739599944819927e-03,-5.812520205540809906e-03,3.413394501362797540e-01,-6.138489627620796057e-03
1.392441300447256496e-04,2.975083907824033723e-03,-4.425287766710392194e-03,8.994883471231368555e-03,-6.955044054019612204e-03,9.499667292756025852e-03,-7.012380007030518878e-03,-9.149384939726701825e-04,-3.764640793793627704e-03,7.158275546107208467e-03,-5.360225560658838512e-03,7.937831428981937873e-03,-6.017556501021294191e-03,3.367429681333394265e-01
