Frequency (GHz)	Im(Z(15, 1)) : 8Q_flux_lines	Im(Z(15, 2)) : 8Q_flux_lines	Im(Z(15, 3)) : 8Q_flux_lines	Im(Z(15, 4)) : 8Q_flux_lines	Im(Z(15, 5)) : 8Q_flux_lines	Im(Z(15, 6)) : 8Q_flux_lines	Im(Z(15, 7)) : 8Q_flux_lines	Im(Z(15, 8)) : 8Q_flux_lines	Im(Z(15, 9)) : 8Q_flux_lines	Im(Z(15, 10)) : 8Q_flux_lines	Im(Z(15, 11)) : 8Q_flux_lines	Im(Z(15, 12)) : 8Q_flux_lines	Im(Z(15, 13)) : 8Q_flux_lines	Im(Z(15, 14)) : 8Q_flux_lines	Im(Z(16, 1)) : 8Q_flux_lines	Im(Z(16, 2)) : 8Q_flux_lines	Im(Z(16, 3)) : 8Q_flux_lines	Im(Z(16, 4)) : 8Q_flux_lines	Im(Z(16, 5)) : 8Q_flux_lines	Im(Z(16, 6)) : 8Q_flux_lines	Im(Z(16, 7)) : 8Q_flux_lines	Im(Z(16, 8)) : 8Q_flux_lines	Im(Z(16, 9)) : 8Q_flux_lines	Im(Z(16, 10)) : 8Q_flux_lines	Im(Z(16, 11)) : 8Q_flux_lines	Im(Z(16, 12)) : 8Q_flux_lines	Im(Z(16, 13)) : 8Q_flux_lines	Im(Z(16, 14)) : 8Q_flux_lines	Im(Z(17, 1)) : 8Q_flux_lines	Im(Z(17, 2)) : 8Q_flux_lines	Im(Z(17, 3)) : 8Q_flux_lines	Im(Z(17, 4)) : 8Q_flux_lines	Im(Z(17, 5)) : 8Q_flux_lines	Im(Z(17, 6)) : 8Q_flux_lines	Im(Z(17, 7)) : 8Q_flux_lines	Im(Z(17, 8)) : 8Q_flux_lines	Im(Z(17, 9)) : 8Q_flux_lines	Im(Z(17, 10)) : 8Q_flux_lines	Im(Z(17, 11)) : 8Q_flux_lines	Im(Z(17, 12)) : 8Q_flux_lines	Im(Z(17, 13)) : 8Q_flux_lines	Im(Z(17, 14)) : 8Q_flux_lines	Im(Z(18, 1)) : 8Q_flux_lines	Im(Z(18, 2)) : 8Q_flux_lines	Im(Z(18, 3)) : 8Q_flux_lines	Im(Z(18, 4)) : 8Q_flux_lines	Im(Z(18, 5)) : 8Q_flux_lines	Im(Z(18, 6)) : 8Q_flux_lines	Im(Z(18, 7)) : 8Q_flux_lines	Im(Z(18, 8)) : 8Q_flux_lines	Im(Z(18, 9)) : 8Q_flux_lines	Im(Z(18, 10)) : 8Q_flux_lines	Im(Z(18, 11)) : 8Q_flux_lines	Im(Z(18, 12)) : 8Q_flux_lines	Im(Z(18, 13)) : 8Q_flux_lines	Im(Z(18, 14)) : 8Q_flux_lines	Im(Z(19, 1)) : 8Q_flux_lines	Im(Z(19, 2)) : 8Q_flux_lines	Im(Z(19, 3)) : 8Q_flux_lines	Im(Z(19, 4)) : 8Q_flux_lines	Im(Z(19, 5)) : 8Q_flux_lines	Im(Z(19, 6)) : 8Q_flux_lines	Im(Z(19, 7)) : 8Q_flux_lines	Im(Z(19, 8)) : 8Q_flux_lines	Im(Z(19, 9)) : 8Q_flux_lines	Im(Z(19, 10)) : 8Q_flux_lines	Im(Z(19, 11)) : 8Q_flux_lines	Im(Z(19, 12)) : 8Q_flux_lines	Im(Z(19, 13)) : 8Q_flux_lines	Im(Z(19, 14)) : 8Q_flux_lines	Im(Z(20, 1)) : 8Q_flux_lines	Im(Z(20, 2)) : 8Q_flux_lines	Im(Z(20, 3)) : 8Q_flux_lines	Im(Z(20, 4)) : 8Q_flux_lines	Im(Z(20, 5)) : 8Q_flux_lines	Im(Z(20, 6)) : 8Q_flux_lines	Im(Z(20, 7)) : 8Q_flux_lines	Im(Z(20, 8)) : 8Q_flux_lines	Im(Z(20, 9)) : 8Q_flux_lines	Im(Z(20, 10)) : 8Q_flux_lines	Im(Z(20, 11)) : 8Q_flux_lines	Im(Z(20, 12)) : 8Q_flux_lines	Im(Z(20, 13)) : 8Q_flux_lines	Im(Z(20, 14)) : 8Q_flux_lines	Im(Z(21, 1)) : 8Q_flux_lines	Im(Z(21, 2)) : 8Q_flux_lines	Im(Z(21, 3)) : 8Q_flux_lines	Im(Z(21, 4)) : 8Q_flux_lines	Im(Z(21, 5)) : 8Q_flux_lines	Im(Z(21, 6)) : 8Q_flux_lines	Im(Z(21, 7)) : 8Q_flux_lines	Im(Z(21, 8)) : 8Q_flux_lines	Im(Z(21, 9)) : 8Q_flux_lines	Im(Z(21, 10)) : 8Q_flux_lines	Im(Z(21, 11)) : 8Q_flux_lines	Im(Z(21, 12)) : 8Q_flux_lines	Im(Z(21, 13)) : 8Q_flux_lines	Im(Z(21, 14)) : 8Q_flux_lines	Im(Z(22, 1)) : 8Q_flux_lines	Im(Z(22, 2)) : 8Q_flux_lines	Im(Z(22, 3)) : 8Q_flux_lines	Im(Z(22, 4)) : 8Q_flux_lines	Im(Z(22, 5)) : 8Q_flux_lines	Im(Z(22, 6)) : 8Q_flux_lines	Im(Z(22, 7)) : 8Q_flux_lines	Im(Z(22, 8)) : 8Q_flux_lines	Im(Z(22, 9)) : 8Q_flux_lines	Im(Z(22, 10)) : 8Q_flux_lines	Im(Z(22, 11)) : 8Q_flux_lines	Im(Z(22, 12)) : 8Q_flux_lines	Im(Z(22, 13)) : 8Q_flux_lines	Im(Z(22, 14)) : 8Q_flux_lines	Im(Z(23, 1)) : 8Q_flux_lines	Im(Z(23, 2)) : 8Q_flux_lines	Im(Z(23, 3)) : 8Q_flux_lines	Im(Z(23, 4)) : 8Q_flux_lines	Im(Z(23, 5)) : 8Q_flux_lines	Im(Z(23, 6)) : 8Q_flux_lines	Im(Z(23, 7)) : 8Q_flux_lines	Im(Z(23, 8)) : 8Q_flux_lines	Im(Z(23, 9)) : 8Q_flux_lines	Im(Z(23, 10)) : 8Q_flux_lines	Im(Z(23, 11)) : 8Q_flux_lines	Im(Z(23, 12)) : 8Q_flux_lines	Im(Z(23, 13)) : 8Q_flux_lines	Im(Z(23, 14)) : 8Q_flux_lines	Im(Z(24, 1)) : 8Q_flux_lines	Im(Z(24, 2)) : 8Q_flux_lines	Im(Z(24, 3)) : 8Q_flux_lines	Im(Z(24, 4)) : 8Q_flux_lines	Im(Z(24, 5)) : 8Q_flux_lines	Im(Z(24, 6)) : 8Q_flux_lines	Im(Z(24, 7)) : 8Q_flux_lines	Im(Z(24, 8)) : 8Q_flux_lines	Im(Z(24, 9)) : 8Q_flux_lines	Im(Z(24, 10)) : 8Q_flux_lines	Im(Z(24, 11)) : 8Q_flux_lines	Im(Z(24, 12)) : 8Q_flux_lines	Im(Z(24, 13)) : 8Q_flux_lines	Im(Z(24, 14)) : 8Q_flux_lines	Im(Z(25, 1)) : 8Q_flux_lines	Im(Z(25, 2)) : 8Q_flux_lines	Im(Z(25, 3)) : 8Q_flux_lines	Im(Z(25, 4)) : 8Q_flux_lines	Im(Z(25, 5)) : 8Q_flux_lines	Im(Z(25, 6)) : 8Q_flux_lines	Im(Z(25, 7)) : 8Q_flux_lines	Im(Z(25, 8)) : 8Q_flux_lines	Im(Z(25, 9)) : 8Q_flux_lines	Im(Z(25, 10)) : 8Q_flux_lines	Im(Z(25, 11)) : 8Q_flux_lines	Im(Z(25, 12)) : 8Q_flux_lines	Im(Z(25, 13)) : 8Q_flux_lines	Im(Z(25, 14)) : 8Q_flux_lines	Im(Z(26, 1)) : 8Q_flux_lines	Im(Z(26, 2)) : 8Q_flux_lines	Im(Z(26, 3)) : 8Q_flux_lines	Im(Z(26, 4)) : 8Q_flux_lines	Im(Z(26, 5)) : 8Q_flux_lines	Im(Z(26, 6)) : 8Q_flux_lines	Im(Z(26, 7)) : 8Q_flux_lines	Im(Z(26, 8)) : 8Q_flux_lines	Im(Z(26, 9)) : 8Q_flux_lines	Im(Z(26, 10)) : 8Q_flux_lines	Im(Z(26, 11)) : 8Q_flux_lines	Im(Z(26, 12)) : 8Q_flux_lines	Im(Z(26, 13)) : 8Q_flux_lines	Im(Z(26, 14)) : 8Q_flux_lines	Im(Z(27, 1)) : 8Q_flux_lines	Im(Z(27, 2)) : 8Q_flux_lines	Im(Z(27, 3)) : 8Q_flux_lines	Im(Z(27, 4)) : 8Q_flux_lines	Im(Z(27, 5)) : 8Q_flux_lines	Im(Z(27, 6)) : 8Q_flux_lines	Im(Z(27, 7)) : 8Q_flux_lines	Im(Z(27, 8)) : 8Q_flux_lines	Im(Z(27, 9)) : 8Q_flux_lines	Im(Z(27, 10)) : 8Q_flux_lines	Im(Z(27, 11)) : 8Q_flux_lines	Im(Z(27, 12)) : 8Q_flux_lines	Im(Z(27, 13)) : 8Q_flux_lines	Im(Z(27, 14)) : 8Q_flux_lines	Im(Z(28, 1)) : 8Q_flux_lines	Im(Z(28, 2)) : 8Q_flux_lines	Im(Z(28, 3)) : 8Q_flux_lines	Im(Z(28, 4)) : 8Q_flux_lines	Im(Z(28, 5)) : 8Q_flux_lines	Im(Z(28, 6)) : 8Q_flux_lines	Im(Z(28, 7)) : 8Q_flux_lines	Im(Z(28, 8)) : 8Q_flux_lines	Im(Z(28, 9)) : 8Q_flux_lines	Im(Z(28, 10)) : 8Q_flux_lines	Im(Z(28, 11)) : 8Q_flux_lines	Im(Z(28, 12)) : 8Q_flux_lines	Im(Z(28, 13)) : 8Q_flux_lines	Im(Z(28, 14)) : 8Q_flux_lines
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.01	-9.19346e-05	2.41296e-08	1.12755e-07	1.17579e-09	5.51168e-08	-2.14118e-08	4.7105e-08	-3.02594e-08	2.87894e-07	2.04017e-09	7.44845e-08	3.92757e-09	3.61546e-08	-2.28772e-08	1.33769e-08	8.8632e-05	-4.70138e-08	1.53356e-07	-6.54082e-08	9.81368e-08	-1.07519e-07	1.73684e-07	-3.29538e-08	2.54929e-07	-6.87568e-08	1.01784e-07	-1.05756e-07	1.31366e-07	-3.16825e-07	1.65905e-08	-9.10659e-05	2.01738e-08	1.35477e-07	4.41727e-09	8.40394e-09	3.47659e-09	-8.60966e-07	-9.28669e-09	4.9487e-07	9.88649e-09	1.706e-08	-7.47285e-09	9.58626e-09	-3.18037e-07	-2.2613e-08	8.94649e-05	8.09068e-09	1.0534e-07	-8.30502e-09	-4.11003e-08	7.38673e-08	-9.16735e-07	2.29806e-09	4.95837e-07	-1.35397e-08	2.71443e-08	-1.33949e-07	1.03246e-08	-3.17043e-07	4.64376e-09	-9.08537e-05	2.5638e-08	1.72923e-07	-2.14242e-09	-1.57532e-07	1.2686e-08	-1.01836e-06	1.55612e-08	4.46554e-07	-2.6004e-08	3.8664e-09	-1.25051e-07	1.76315e-09	-3.17443e-07	3.21987e-08	8.94443e-05	-1.40245e-08	1.30214e-07	1.16389e-08	-1.56969e-07	3.17415e-08	-9.01441e-07	1.78323e-08	4.65411e-07	-1.38726e-07	2.04198e-08	-1.52404e-07	3.30885e-08	-3.1933e-07	5.4465e-09	-9.0272e-05	3.76999e-08	-1.60174e-07	1.27982e-08	-1.7975e-07	2.36765e-08	-8.17084e-07	-7.77601e-09	2.35277e-08	-1.3922e-07	1.56178e-08	-1.40888e-07	1.20113e-08	-3.28217e-07	7.95165e-09	8.90152e-05	1.40888e-08	-1.30556e-07	1.12028e-08	-1.67626e-07	8.09791e-09	-8.64328e-07	-1.43088e-06	8.83699e-09	9.35291e-07	2.59941e-08	1.03964e-07	-1.78137e-08	8.67356e-08	-3.26321e-08	7.21291e-05	1.05449e-08	2.00463e-07	1.903e-08	6.32301e-08	-1.36028e-08	1.15467e-08	-1.81446e-06	6.6183e-09	7.83177e-07	8.45132e-09	4.27917e-09	-3.12199e-09	-3.55901e-08	1.07862e-08	7.25516e-05	1.82782e-09	1.24229e-07	-1.08404e-09	-7.3286e-10	-1.14779e-07	1.57609e-08	-1.20421e-06	1.19138e-08	1.03746e-06	-1.4264e-09	8.8528e-08	-6.61808e-09	-2.58591e-07	1.81565e-08	7.1498e-05	-2.12516e-09	2.60823e-07	-7.83508e-09	1.25094e-08	-1.15102e-07	1.78465e-08	-1.74567e-06	1.49706e-08	8.73721e-07	7.35549e-09	-9.02325e-09	1.16295e-08	-3.20169e-07	-1.62924e-10	7.18282e-05	-3.58994e-09	1.61583e-07	-1.44363e-07	3.60246e-08	-1.66637e-07	2.32069e-08	-1.36214e-06	-8.00273e-09	1.42875e-06	2.32348e-08	-1.74841e-07	2.47846e-08	-2.49191e-07	1.69625e-08	7.24168e-05	-1.27204e-08	2.36917e-08	-1.12553e-07	1.14956e-08	-1.1962e-07	2.06869e-08	-1.63218e-06	-2.21598e-08	1.49864e-06	1.65339e-08	-1.02507e-07	2.05206e-08	-2.52726e-07	1.09606e-08	7.14028e-05
0.02	-0.00018387	4.82596e-08	2.25513e-07	2.35122e-09	1.10234e-07	-4.28237e-08	9.42101e-08	-6.05189e-08	5.75789e-07	4.07989e-09	1.48969e-07	7.85581e-09	7.23092e-08	-4.57546e-08	2.67508e-08	0.000177265	-9.4028e-08	3.06707e-07	-1.30817e-07	1.96275e-07	-2.15039e-07	3.47371e-07	-6.5907e-08	5.09856e-07	-1.37514e-07	2.03568e-07	-2.11513e-07	2.62733e-07	-6.33649e-07	3.31806e-08	-0.000182132	4.03475e-08	2.70955e-07	8.83487e-09	1.68079e-08	6.95304e-09	-1.72193e-06	-1.85733e-08	9.89745e-07	1.9773e-08	3.41201e-08	-1.49458e-08	1.91729e-08	-6.36075e-07	-4.52261e-08	0.00017893	1.61812e-08	2.10679e-07	-1.661e-08	-8.22006e-08	1.47734e-07	-1.83347e-06	4.59661e-09	9.91674e-07	-2.70807e-08	5.42886e-08	-2.67899e-07	2.06492e-08	-6.34086e-07	9.2874e-09	-0.000181707	5.12764e-08	3.45841e-07	-4.28473e-09	-3.15064e-07	2.53719e-08	-2.03673e-06	3.11224e-08	8.93109e-07	-5.20082e-08	7.73286e-09	-2.50101e-07	3.5263e-09	-6.34887e-07	6.43974e-08	0.000178889	-2.8049e-08	2.60429e-07	2.3278e-08	-3.13938e-07	6.34833e-08	-1.80288e-06	3.56641e-08	9.30822e-07	-2.77455e-07	4.08396e-08	-3.04807e-07	6.61771e-08	-6.38662e-07	1.08931e-08	-0.000180544	7.54e-08	-3.20347e-07	2.55963e-08	-3.59501e-07	4.73531e-08	-1.63417e-06	-1.55523e-08	4.70554e-08	-2.7844e-07	3.12355e-08	-2.81776e-07	2.40226e-08	-6.56435e-07	1.59032e-08	0.000178031	2.81777e-08	-2.61111e-07	2.24056e-08	-3.35252e-07	1.61956e-08	-1.72866e-06	-2.86177e-06	1.76748e-08	1.87059e-06	5.19895e-08	2.07929e-07	-3.56285e-08	1.73472e-07	-6.52645e-08	0.000144258	2.10899e-08	4.00928e-07	3.80612e-08	1.26461e-07	-2.72056e-08	2.30934e-08	-3.62892e-06	1.32368e-08	1.56636e-06	1.69025e-08	8.55755e-09	-6.24396e-09	-7.11805e-08	2.15734e-08	0.000145103	3.65542e-09	2.48458e-07	-2.16802e-09	-1.4656e-09	-2.29558e-07	3.15219e-08	-2.40843e-06	2.38276e-08	2.07492e-06	-2.85304e-09	1.77056e-07	-1.32362e-08	-5.17183e-07	3.6313e-08	0.000142996	-4.25031e-09	5.21645e-07	-1.56702e-08	2.50187e-08	-2.30205e-07	3.5693e-08	-3.49133e-06	2.99413e-08	1.74744e-06	1.4711e-08	-1.80475e-08	2.32596e-08	-6.40339e-07	-3.26e-10	0.000143657	-7.17948e-09	3.23167e-07	-2.88727e-07	7.20495e-08	-3.33274e-07	4.64141e-08	-2.72428e-06	-1.6006e-08	2.85752e-06	4.64699e-08	-3.49684e-07	4.95695e-08	-4.98383e-07	3.39251e-08	0.000144834	-2.54405e-08	4.73838e-08	-2.25106e-07	2.29913e-08	-2.39241e-07	4.1374e-08	-3.26436e-06	-4.43196e-08	2.99729e-06	3.30678e-08	-2.05012e-07	4.10418e-08	-5.05452e-07	2.19202e-08	0.000142806
0.03	-0.000275884	1.81347e-07	3.26276e-07	-3.3176e-08	1.5559e-07	-5.98449e-08	1.61883e-07	-9.09752e-08	8.90311e-07	1.55552e-07	1.89515e-07	1.02273e-10	1.17655e-07	-6.80146e-08	6.11736e-08	0.000265947	-1.21969e-07	3.01848e-07	-1.89699e-07	3.31748e-07	-3.16383e-07	5.27258e-07	-1.69985e-07	8.62649e-07	-1.96402e-07	2.88511e-07	-3.0536e-07	3.51684e-07	-8.68594e-07	4.83346e-08	-0.000273265	5.40779e-08	4.51543e-07	-3.97998e-08	1.02461e-08	5.22057e-09	-3.30151e-06	-2.88634e-08	1.39844e-06	2.80709e-08	8.06261e-08	-2.87011e-08	2.64936e-08	-9.62797e-07	-4.18593e-09	0.000268451	7.07328e-09	2.72062e-07	-2.39824e-08	-5.93936e-08	1.91465e-07	-2.76182e-06	5.79405e-09	1.49804e-06	-3.94811e-08	1.63612e-07	-4.06132e-07	3.3403e-08	-9.808e-07	2.2282e-08	-0.00027256	7.9013e-08	5.75189e-07	1.13268e-08	-4.8265e-07	4.59196e-08	-2.9064e-06	8.51681e-08	1.41188e-06	-6.93591e-08	9.85344e-09	-3.24746e-07	-7.74524e-09	-1.00583e-06	6.32468e-08	0.00026833	-4.63331e-08	3.5324e-07	4.45223e-08	-4.86601e-07	5.8091e-08	-2.73117e-06	5.26398e-08	1.41569e-06	-4.55901e-07	6.10996e-08	-4.80646e-07	8.77049e-08	-9.02763e-07	-6.42448e-10	-0.000270965	1.27602e-07	-4.89744e-07	5.35437e-08	-5.59566e-07	8.33452e-08	-2.87747e-06	-1.72979e-08	7.08647e-08	-4.1194e-07	4.68013e-08	-4.93888e-07	4.31267e-08	-9.95993e-07	1.12548e-08	0.000267154	4.19964e-08	-3.72796e-07	4.37863e-08	-5.6474e-07	7.26861e-09	-2.64683e-06	-4.30896e-06	3.45903e-08	2.91243e-06	-2.75834e-08	2.85562e-07	-5.42369e-08	2.19836e-07	-9.73894e-08	0.000216282	3.53178e-08	3.50003e-07	1.34123e-08	1.95359e-07	-4.9977e-08	6.39879e-08	-5.51473e-06	1.81935e-08	2.32597e-06	3.16891e-08	2.45742e-08	-1.33376e-08	-8.76394e-08	1.91064e-08	0.000217618	3.16319e-09	3.57672e-07	-8.45972e-09	-3.78881e-08	-3.55209e-07	4.5601e-08	-3.65092e-06	2.74654e-08	2.99837e-06	1.31635e-08	3.00159e-07	-3.97566e-08	-6.9551e-07	4.4607e-08	0.000214423	2.62757e-08	5.66923e-07	-4.99616e-08	1.21952e-08	-3.68525e-07	6.16686e-08	-5.18158e-06	1.87084e-08	2.56292e-06	2.56369e-08	6.36947e-08	1.57377e-08	-9.6748e-07	-9.79162e-10	0.000215479	-3.85702e-08	5.40841e-07	-4.17989e-07	1.03446e-07	-5.68385e-07	7.01541e-08	-3.55204e-06	-2.93379e-08	4.23507e-06	5.83513e-08	-5.24942e-07	5.25899e-08	-7.39995e-07	5.94138e-08	0.000217343	-3.90594e-08	6.98093e-08	-3.66757e-07	3.1951e-08	-4.38419e-07	7.69598e-08	-4.94765e-06	-7.2943e-08	4.65652e-06	4.66379e-08	-2.99093e-07	3.7887e-08	-7.46784e-07	5.54932e-08	0.000214215
0.04	-0.000367853	9.00677e-08	6.71145e-07	-1.87451e-08	2.03116e-07	-8.15651e-08	1.87289e-07	-1.22153e-07	1.14621e-06	-4.28146e-08	2.86886e-07	1.63998e-08	1.452e-07	-9.37458e-08	6.04367e-08	0.000354505	-1.83888e-07	4.7704e-07	-2.58361e-07	4.4974e-07	-4.24386e-07	7.06154e-07	-9.99875e-08	1.07713e-06	-2.64568e-07	3.78084e-07	-4.07881e-07	5.02311e-07	-1.21032e-06	7.33491e-08	-0.000364311	4.74094e-08	4.49646e-07	-7.1584e-08	5.57731e-08	1.53162e-08	-3.97578e-06	-3.86982e-08	1.78999e-06	3.49173e-08	2.41447e-07	-5.93559e-08	6.04309e-08	-1.37252e-06	-1.05606e-07	0.000357956	2.34096e-08	4.51141e-07	-3.35696e-08	-1.59845e-07	1.75566e-07	-3.64116e-06	1.46525e-08	2.01622e-06	-5.89166e-08	9.84206e-08	-5.08443e-07	4.21443e-08	-1.27207e-06	8.18843e-08	-0.000363307	1.68851e-07	9.17491e-07	-4.35949e-09	-7.76e-07	5.02067e-08	-4.15953e-06	1.18433e-07	1.63172e-06	-1.98941e-07	2.26043e-08	-5.13107e-07	-6.05852e-09	-1.15346e-06	1.12936e-07	0.000357871	-4.99701e-08	5.435e-07	5.67337e-08	-5.7382e-07	1.30829e-07	-3.37719e-06	6.7255e-08	2.01885e-06	-5.47934e-07	8.64337e-08	-6.54334e-07	1.718e-07	-1.13302e-06	1.95889e-08	-0.000361073	1.07171e-07	-6.31576e-07	4.44811e-08	-7.014e-07	1.31337e-07	-3.29696e-06	-5.57717e-08	9.48574e-08	-5.4731e-07	6.19374e-08	-5.86372e-07	4.74498e-08	-1.2436e-06	1.24016e-08	0.000355998	5.63911e-08	-5.15358e-07	4.87959e-08	-6.44076e-07	5.72185e-08	-3.66936e-06	-5.75449e-06	4.6977e-08	3.80028e-06	-6.30844e-08	4.17811e-07	-3.57272e-08	3.27527e-07	-1.30103e-07	0.000288592	-2.92893e-09	6.76899e-07	-1.54213e-08	2.98858e-07	-4.63134e-08	7.63898e-08	-7.52485e-06	2.49312e-08	3.24709e-06	2.60193e-08	3.90849e-08	-1.62742e-08	-1.31492e-07	2.02742e-07	0.000289995	7.26694e-09	3.56631e-07	-2.21165e-08	-2.96348e-08	-3.96166e-07	7.30005e-08	-4.88391e-06	5.32676e-08	4.13001e-06	-1.12713e-08	3.5402e-07	-2.64218e-08	-1.00186e-06	7.22104e-08	0.000285864	2.99659e-09	8.47133e-07	-4.89611e-08	-3.15142e-09	-4.81495e-07	7.76028e-08	-6.97059e-06	5.10572e-08	3.51525e-06	2.65195e-08	1.26255e-07	4.56613e-08	-1.25711e-06	-7.18014e-09	0.000287358	8.58643e-09	6.61578e-07	-5.81243e-07	1.32676e-07	-6.86429e-07	9.50006e-08	-5.19392e-06	-1.95066e-08	5.76924e-06	8.39001e-08	-5.94796e-07	8.80719e-08	-9.92765e-07	7.60989e-08	0.000289686	-7.3717e-08	8.90354e-08	-4.50895e-07	4.56581e-08	-5.0812e-07	7.39922e-08	-6.56153e-06	-1.06594e-07	6.08994e-06	5.93435e-08	-4.31263e-07	6.34383e-08	-9.81747e-07	7.63535e-08	0.00028579
0.05	-0.000459833	1.13253e-07	8.57275e-07	-2.7398e-08	2.51699e-07	-1.01247e-07	2.34513e-07	-1.52774e-07	1.44086e-06	-5.73051e-08	3.55075e-07	1.66049e-08	1.81836e-07	-1.1713e-07	7.77713e-08	0.000443119	-2.28732e-07	5.72383e-07	-3.22176e-07	5.66942e-07	-5.30007e-07	8.84479e-07	-1.1331e-07	1.35898e-06	-3.29079e-07	4.70181e-07	-5.08589e-07	6.23173e-07	-1.50851e-06	9.32166e-08	-0.000455402	5.67785e-08	5.45175e-07	-1.05814e-07	7.5757e-08	1.90342e-08	-5.06963e-06	-4.80004e-08	2.21494e-06	4.24298e-08	3.18509e-07	-7.95514e-08	7.79245e-08	-1.72849e-06	-1.31602e-07	0.000447455	2.83284e-08	5.66409e-07	-4.23574e-08	-1.96371e-07	2.01303e-07	-4.55168e-06	1.88495e-08	2.53066e-06	-7.3647e-08	1.2382e-07	-6.30336e-07	5.29256e-08	-1.59198e-06	1.12043e-07	-0.000454121	2.16143e-07	1.16709e-06	-4.71604e-09	-9.83831e-07	6.27357e-08	-5.20686e-06	1.5559e-07	2.02941e-06	-2.55921e-07	2.953e-08	-6.38242e-07	-9.02751e-09	-1.43461e-06	1.36256e-07	0.000447346	-6.19637e-08	6.77172e-07	7.32693e-08	-7.11499e-07	1.63604e-07	-4.1992e-06	8.34953e-08	2.5517e-06	-6.86706e-07	1.08591e-07	-8.23264e-07	2.20132e-07	-1.40169e-06	2.37063e-08	-0.000451343	1.2806e-07	-7.87592e-07	5.49775e-08	-8.74348e-07	1.69627e-07	-4.12637e-06	-7.28264e-08	1.18703e-07	-6.8252e-07	7.73519e-08	-7.37309e-07	5.91395e-08	-1.54516e-06	1.21967e-08	0.000444986	7.04608e-08	-6.42192e-07	6.16896e-08	-8.05777e-07	7.08075e-08	-4.62067e-06	-7.193e-06	5.89109e-08	4.75185e-06	-1.0087e-07	5.22425e-07	-4.01653e-08	4.04686e-07	-1.62482e-07	0.000360757	-7.18337e-09	8.19469e-07	-3.71354e-08	3.77838e-07	-5.8078e-08	1.00994e-07	-9.43856e-06	3.10962e-08	4.06416e-06	3.12851e-08	5.46414e-08	-2.09881e-08	-1.62309e-07	2.68073e-07	0.000362465	9.64414e-09	4.34098e-07	-3.03844e-08	-4.40756e-08	-4.89967e-07	9.24148e-08	-6.1143e-06	6.75437e-08	5.1525e-06	-1.59692e-08	4.42518e-07	-3.31478e-08	-1.24408e-06	9.04588e-08	0.000357308	5.61621e-09	1.03064e-06	-6.32837e-08	-1.03715e-08	-6.03627e-07	9.81256e-08	-8.71276e-06	6.25579e-08	4.39128e-06	3.3114e-08	1.83778e-07	5.50995e-08	-1.55808e-06	-1.03433e-08	0.000359199	1.23342e-08	8.32967e-07	-7.25225e-07	1.64006e-07	-8.6501e-07	1.1962e-07	-6.44872e-06	-2.31134e-08	7.21423e-06	1.03182e-07	-7.31267e-07	1.07741e-07	-1.23979e-06	9.66845e-08	0.00036211	-9.55441e-08	1.10469e-07	-5.63675e-07	5.76142e-08	-6.3762e-07	9.19068e-08	-8.20826e-06	-1.35022e-07	7.61908e-06	7.30294e-08	-5.40849e-07	7.63777e-08	-1.22684e-06	1.01081e-07	0.000357271
