Frequency (GHz)	Im(Y(1,1)) : transmon_coupling qq leg	Im(Y(1,2)) : transmon_coupling qq leg	Im(Y(2,2)) : transmon_coupling qq leg
5.22	0.00356056	-1.5303e-05	0.00355791
5.23	0.00356771	-1.53188e-05	0.00356506
5.24	0.00357487	-1.53345e-05	0.00357221
5.25	0.00358203	-1.53501e-05	0.00357936
5.26	0.00358918	-1.53657e-05	0.00358651
5.27	0.00359635	-1.53811e-05	0.00359366
5.28	0.00360351	-1.53964e-05	0.00360082
5.29	0.00361067	-1.54117e-05	0.00360797
5.3	0.00361784	-1.54268e-05	0.00361513
5.31	0.00362501	-1.54419e-05	0.0036223
5.32	0.00363218	-1.54568e-05	0.00362946
5.33	0.00363935	-1.54717e-05	0.00363663
5.34	0.00364653	-1.54865e-05	0.00364379
5.35	0.00365371	-1.55012e-05	0.00365096
5.36	0.00366088	-1.55157e-05	0.00365813
5.37	0.00366807	-1.55302e-05	0.00366531
5.38	0.00367525	-1.55446e-05	0.00367248
5.39	0.00368243	-1.55589e-05	0.00367966
5.4	0.00368962	-1.55731e-05	0.00368684
5.41	0.00369681	-1.55872e-05	0.00369402
5.42	0.003704	-1.56012e-05	0.00370121
5.43	0.0037112	-1.56151e-05	0.00370839
5.44	0.00371839	-1.56289e-05	0.00371558
5.45	0.00372559	-1.56426e-05	0.00372277
5.46	0.00373279	-1.56562e-05	0.00372996
5.47	0.00373999	-1.56697e-05	0.00373716
5.48	0.00374719	-1.56831e-05	0.00374435
5.49	0.0037544	-1.56964e-05	0.00375155
5.5	0.00376161	-1.57097e-05	0.00375875
5.51	0.00376882	-1.57228e-05	0.00376595
5.52	0.00377603	-1.57358e-05	0.00377316
5.53	0.00378324	-1.57487e-05	0.00378036
5.54	0.00379046	-1.57615e-05	0.00378757
5.55	0.00379768	-1.57742e-05	0.00379478
5.56	0.0038049	-1.57867e-05	0.00380199
5.57	0.00381212	-1.57992e-05	0.00380921
5.58	0.00381935	-1.58116e-05	0.00381643
5.59	0.00382657	-1.58239e-05	0.00382364
5.6	0.0038338	-1.58361e-05	0.00383087
5.61	0.00384103	-1.58481e-05	0.00383809
5.62	0.00384827	-1.58601e-05	0.00384531
5.63	0.0038555	-1.5872e-05	0.00385254
5.64	0.00386274	-1.58837e-05	0.00385977
5.65	0.00386998	-1.58954e-05	0.003867
5.66	0.00387722	-1.59069e-05	0.00387424
5.67	0.00388446	-1.59183e-05	0.00388147
5.68	0.00389171	-1.59297e-05	0.00388871
5.69	0.00389896	-1.59409e-05	0.00389595
5.7	0.00390621	-1.5952e-05	0.00390319
5.71	0.00391346	-1.5963e-05	0.00391044
5.72	0.00392072	-1.59739e-05	0.00391769
5.73	0.00392797	-1.59846e-05	0.00392493
5.74	0.00393523	-1.59953e-05	0.00393219
5.75	0.00394249	-1.60059e-05	0.00393944
5.76	0.00394976	-1.60163e-05	0.00394669
5.77	0.00395702	-1.60267e-05	0.00395395
5.78	0.00396429	-1.60369e-05	0.00396121
5.79	0.00397156	-1.6047e-05	0.00396847
5.8	0.00397883	-1.6057e-05	0.00397574
5.81	0.00398611	-1.60669e-05	0.003983
5.82	0.00399339	-1.60767e-05	0.00399027
5.83	0.00400066	-1.60863e-05	0.00399754
5.84	0.00400795	-1.60959e-05	0.00400482
5.85	0.00401523	-1.61053e-05	0.00401209
5.86	0.00402252	-1.61147e-05	0.00401937
5.87	0.0040298	-1.61239e-05	0.00402665
5.88	0.00403709	-1.6133e-05	0.00403393
5.89	0.00404439	-1.6142e-05	0.00404122
5.9	0.00405168	-1.61508e-05	0.0040485
5.91	0.00405898	-1.61596e-05	0.00405579
5.92	0.00406628	-1.61682e-05	0.00406308
5.93	0.00407358	-1.61767e-05	0.00407038
5.94	0.00408088	-1.61851e-05	0.00407767
5.95	0.00408819	-1.61934e-05	0.00408497
5.96	0.0040955	-1.62016e-05	0.00409227
