Frequency (GHz)	Im(Y(1,1)) : transmon_coupling qq leg	Im(Y(1,2)) : transmon_coupling qq leg	Im(Y(2,2)) : transmon_coupling qq leg
6.18	0.00423103	-4.15529e-05	0.00422889
6.19	0.00423836	-4.15966e-05	0.00423621
6.2	0.00424568	-4.16402e-05	0.00424353
6.21	0.00425301	-4.16837e-05	0.00425085
6.22	0.00426034	-4.17271e-05	0.00425817
6.23	0.00426767	-4.17703e-05	0.0042655
6.24	0.00427501	-4.18134e-05	0.00427283
6.25	0.00428235	-4.18564e-05	0.00428016
6.26	0.00428969	-4.18993e-05	0.00428749
6.27	0.00429703	-4.1942e-05	0.00429483
6.28	0.00430438	-4.19847e-05	0.00430217
6.29	0.00431173	-4.20272e-05	0.00430951
6.3	0.00431908	-4.20696e-05	0.00431685
6.31	0.00432643	-4.21118e-05	0.0043242
6.32	0.00433378	-4.2154e-05	0.00433155
6.33	0.00434114	-4.2196e-05	0.0043389
6.34	0.0043485	-4.22379e-05	0.00434625
6.35	0.00435587	-4.22796e-05	0.00435361
6.36	0.00436323	-4.23213e-05	0.00436097
6.37	0.0043706	-4.23628e-05	0.00436833
6.38	0.00437797	-4.24042e-05	0.00437569
6.39	0.00438534	-4.24455e-05	0.00438306
6.4	0.00439272	-4.24866e-05	0.00439043
6.41	0.0044001	-4.25277e-05	0.0043978
6.42	0.00440748	-4.25685e-05	0.00440517
6.43	0.00441486	-4.26093e-05	0.00441255
6.44	0.00442225	-4.265e-05	0.00441992
6.45	0.00442964	-4.26905e-05	0.00442731
6.46	0.00443703	-4.27309e-05	0.00443469
6.47	0.00444442	-4.27711e-05	0.00444208
6.48	0.00445182	-4.28113e-05	0.00444946
6.49	0.00445921	-4.28513e-05	0.00445686
6.5	0.00446662	-4.28912e-05	0.00446425
6.51	0.00447402	-4.29309e-05	0.00447165
6.52	0.00448143	-4.29705e-05	0.00447905
6.53	0.00448883	-4.301e-05	0.00448645
6.54	0.00449625	-4.30494e-05	0.00449385
6.55	0.00450366	-4.30886e-05	0.00450126
6.56	0.00451108	-4.31277e-05	0.00450867
6.57	0.0045185	-4.31667e-05	0.00451608
6.58	0.00452592	-4.32056e-05	0.00452349
6.59	0.00453334	-4.32443e-05	0.00453091
6.6	0.00454077	-4.32829e-05	0.00453833
6.61	0.0045482	-4.33213e-05	0.00454575
6.62	0.00455563	-4.33597e-05	0.00455318
6.63	0.00456307	-4.33978e-05	0.00456061
6.64	0.00457051	-4.34359e-05	0.00456804
6.65	0.00457795	-4.34738e-05	0.00457547
6.66	0.00458539	-4.35116e-05	0.00458291
6.67	0.00459284	-4.35493e-05	0.00459035
6.68	0.00460029	-4.35869e-05	0.00459779
6.69	0.00460774	-4.36243e-05	0.00460523
6.7	0.00461519	-4.36615e-05	0.00461268
6.71	0.00462265	-4.36987e-05	0.00462013
6.72	0.00463011	-4.37357e-05	0.00462758
6.73	0.00463757	-4.37726e-05	0.00463503
6.74	0.00464504	-4.38093e-05	0.00464249
6.75	0.00465251	-4.38459e-05	0.00464995
6.76	0.00465998	-4.38824e-05	0.00465741
6.77	0.00466745	-4.39187e-05	0.00466488
6.78	0.00467493	-4.39549e-05	0.00467235
6.79	0.00468241	-4.3991e-05	0.00467982
6.8	0.00468989	-4.40269e-05	0.00468729
6.81	0.00469737	-4.40627e-05	0.00469477
6.82	0.00470486	-4.40984e-05	0.00470225
6.83	0.00471235	-4.41339e-05	0.00470973
6.84	0.00471984	-4.41693e-05	0.00471722
6.85	0.00472734	-4.42046e-05	0.00472471
6.86	0.00473484	-4.42397e-05	0.0047322
6.87	0.00474234	-4.42747e-05	0.00473969
6.88	0.00474984	-4.43095e-05	0.00474719
6.89	0.00475735	-4.43442e-05	0.00475468
6.9	0.00476486	-4.43788e-05	0.00476219
6.91	0.00477237	-4.44132e-05	0.00476969
6.92	0.00477989	-4.44475e-05	0.0047772
6.93	0.00478741	-4.44817e-05	0.00478471
6.94	0.00479493	-4.45157e-05	0.00479222
6.95	0.00480245	-4.45496e-05	0.00479974
6.96	0.00480998	-4.45834e-05	0.00480726
