Frequency (GHz)	Im(Y(1,1)) : qubit_coupler_qubit_system	Im(Y(1,2)) : qubit_coupler_qubit_system	Im(Y(1,3)) : qubit_coupler_qubit_system	Im(Y(2,2)) : qubit_coupler_qubit_system	Im(Y(2,3)) : qubit_coupler_qubit_system	Im(Y(3,3)) : qubit_coupler_qubit_system
1.82	0.0012157	-6.38362e-06	-9.16713e-05	0.00121492	-8.93465e-05	0.00113062
1.83	0.00122242	-6.41718e-06	-9.21759e-05	0.00122163	-8.98385e-05	0.00113685
1.84	0.00122914	-6.45072e-06	-9.26806e-05	0.00122835	-9.03304e-05	0.00114309
1.85	0.00123586	-6.48423e-06	-9.31852e-05	0.00123506	-9.08224e-05	0.00114932
1.86	0.00124258	-6.51772e-06	-9.36899e-05	0.00124178	-9.13144e-05	0.00115555
1.87	0.0012493	-6.55118e-06	-9.41945e-05	0.00124849	-9.18064e-05	0.00116179
1.88	0.00125602	-6.58462e-06	-9.46992e-05	0.00125521	-9.22984e-05	0.00116802
1.89	0.00126274	-6.61804e-06	-9.52039e-05	0.00126193	-9.27905e-05	0.00117426
1.9	0.00126947	-6.65143e-06	-9.57086e-05	0.00126865	-9.32825e-05	0.0011805
1.91	0.00127619	-6.68479e-06	-9.62133e-05	0.00127537	-9.37746e-05	0.00118673
1.92	0.00128291	-6.71813e-06	-9.6718e-05	0.00128209	-9.42667e-05	0.00119297
1.93	0.00128964	-6.75145e-06	-9.72227e-05	0.00128881	-9.47588e-05	0.00119921
1.94	0.00129636	-6.78474e-06	-9.77275e-05	0.00129553	-9.5251e-05	0.00120545
1.95	0.00130309	-6.818e-06	-9.82322e-05	0.00130225	-9.57431e-05	0.00121168
1.96	0.00130982	-6.85124e-06	-9.8737e-05	0.00130897	-9.62353e-05	0.00121792
1.97	0.00131654	-6.88446e-06	-9.92418e-05	0.00131569	-9.67275e-05	0.00122416
1.98	0.00132327	-6.91764e-06	-9.97466e-05	0.00132242	-9.72197e-05	0.0012304
1.99	0.00133	-6.9508e-06	-0.000100251	0.00132914	-9.77119e-05	0.00123664
2	0.00133673	-6.98394e-06	-0.000100756	0.00133587	-9.82042e-05	0.00124288
2.01	0.00134346	-7.01705e-06	-0.000101261	0.00134259	-9.86964e-05	0.00124912
2.02	0.00135019	-7.05013e-06	-0.000101766	0.00134932	-9.91887e-05	0.00125536
2.03	0.00135692	-7.08318e-06	-0.000102271	0.00135605	-9.9681e-05	0.0012616
2.04	0.00136366	-7.1162e-06	-0.000102776	0.00136278	-0.000100173	0.00126784
2.05	0.00137039	-7.1492e-06	-0.000103281	0.0013695	-0.000100666	0.00127409
2.06	0.00137712	-7.18216e-06	-0.000103785	0.00137623	-0.000101158	0.00128033
2.07	0.00138386	-7.21509e-06	-0.00010429	0.00138296	-0.000101651	0.00128657
2.08	0.00139059	-7.248e-06	-0.000104795	0.00138969	-0.000102143	0.00129281
2.09	0.00139733	-7.28087e-06	-0.0001053	0.00139643	-0.000102635	0.00129906
2.1	0.00140407	-7.31372e-06	-0.000105805	0.00140316	-0.000103128	0.0013053
2.11	0.0014108	-7.34653e-06	-0.00010631	0.00140989	-0.000103621	0.00131155
2.12	0.00141754	-7.37931e-06	-0.000106815	0.00141662	-0.000104113	0.00131779
2.13	0.00142428	-7.41207e-06	-0.00010732	0.00142336	-0.000104606	0.00132404
2.14	0.00143102	-7.44479e-06	-0.000107825	0.00143009	-0.000105098	0.00133028
2.15	0.00143776	-7.47748e-06	-0.00010833	0.00143683	-0.000105591	0.00133653
2.16	0.0014445	-7.51014e-06	-0.000108835	0.00144357	-0.000106084	0.00134277
2.17	0.00145125	-7.54277e-06	-0.000109341	0.00145031	-0.000106576	0.00134902
2.18	0.00145799	-7.57536e-06	-0.000109846	0.00145704	-0.000107069	0.00135527
2.19	0.00146473	-7.60793e-06	-0.000110351	0.00146378	-0.000107562	0.00136151
2.2	0.00147148	-7.64046e-06	-0.000110856	0.00147052	-0.000108054	0.00136776
2.21	0.00147822	-7.67296e-06	-0.000111361	0.00147726	-0.000108547	0.00137401
2.22	0.00148497	-7.70543e-06	-0.000111866	0.001484	-0.00010904	0.00138026
2.23	0.00149171	-7.73787e-06	-0.000112371	0.00149075	-0.000109533	0.00138651
2.24	0.00149846	-7.77027e-06	-0.000112877	0.00149749	-0.000110026	0.00139276
2.25	0.00150521	-7.80264e-06	-0.000113382	0.00150423	-0.000110519	0.00139901
2.26	0.00151196	-7.83498e-06	-0.000113887	0.00151098	-0.000111012	0.00140526
2.27	0.00151871	-7.86729e-06	-0.000114392	0.00151772	-0.000111505	0.00141151
2.28	0.00152546	-7.89956e-06	-0.000114898	0.00152447	-0.000111998	0.00141776
2.29	0.00153221	-7.9318e-06	-0.000115403	0.00153122	-0.000112491	0.00142401
2.3	0.00153896	-7.964e-06	-0.000115908	0.00153796	-0.000112984	0.00143027
2.31	0.00154572	-7.99618e-06	-0.000116414	0.00154471	-0.000113477	0.00143652
2.32	0.00155247	-8.02832e-06	-0.000116919	0.00155146	-0.00011397	0.00144277
2.33	0.00155923	-8.06042e-06	-0.000117424	0.00155821	-0.000114463	0.00144903
2.34	0.00156598	-8.09249e-06	-0.00011793	0.00156496	-0.000114956	0.00145528
2.35	0.00157274	-8.12452e-06	-0.000118435	0.00157171	-0.000115449	0.00146154
2.36	0.00157949	-8.15653e-06	-0.000118941	0.00157847	-0.000115942	0.00146779
2.37	0.00158625	-8.18849e-06	-0.000119446	0.00158522	-0.000116436	0.00147405
2.38	0.00159301	-8.22042e-06	-0.000119952	0.00159197	-0.000116929	0.0014803
2.39	0.00159977	-8.25232e-06	-0.000120457	0.00159873	-0.000117422	0.00148656
2.4	0.00160653	-8.28418e-06	-0.000120963	0.00160549	-0.000117916	0.00149282
2.41	0.00161329	-8.31601e-06	-0.000121468	0.00161224	-0.000118409	0.00149907
2.42	0.00162005	-8.3478e-06	-0.000121974	0.001619	-0.000118902	0.00150533
2.43	0.00162682	-8.37955e-06	-0.000122479	0.00162576	-0.000119396	0.00151159
2.44	0.00163358	-8.41127e-06	-0.000122985	0.00163252	-0.000119889	0.00151785
2.45	0.00164035	-8.44296e-06	-0.00012349	0.00163928	-0.000120383	0.00152411
2.46	0.00164711	-8.4746e-06	-0.000123996	0.00164604	-0.000120876	0.00153037
2.47	0.00165388	-8.50621e-06	-0.000124502	0.0016528	-0.00012137	0.00153663
2.48	0.00166065	-8.53779e-06	-0.000125007	0.00165956	-0.000121863	0.00154289
2.49	0.00166741	-8.56933e-06	-0.000125513	0.00166633	-0.000122357	0.00154915
2.5	0.00167418	-8.60083e-06	-0.000126019	0.00167309	-0.00012285	0.00155541
2.51	0.00168095	-8.63229e-06	-0.000126524	0.00167986	-0.000123344	0.00156167
2.52	0.00168772	-8.66372e-06	-0.00012703	0.00168662	-0.000123838	0.00156794
2.53	0.0016945	-8.69511e-06	-0.000127536	0.00169339	-0.000124331	0.0015742
2.54	0.00170127	-8.72646e-06	-0.000128042	0.00170016	-0.000124825	0.00158046
2.55	0.00170804	-8.75777e-06	-0.000128548	0.00170693	-0.000125319	0.00158673
2.56	0.00171482	-8.78905e-06	-0.000129053	0.0017137	-0.000125812	0.00159299
2.57	0.00172159	-8.82028e-06	-0.000129559	0.00172047	-0.000126306	0.00159926
2.58	0.00172837	-8.85148e-06	-0.000130065	0.00172724	-0.0001268	0.00160552
2.59	0.00173514	-8.88265e-06	-0.000130571	0.00173401	-0.000127294	0.00161179
2.6	0.00174192	-8.91377e-06	-0.000131077	0.00174078	-0.000127788	0.00161805
2.61	0.0017487	-8.94485e-06	-0.000131583	0.00174756	-0.000128282	0.00162432
2.62	0.00175548	-8.9759e-06	-0.000132089	0.00175433	-0.000128775	0.00163059
2.63	0.00176226	-9.00691e-06	-0.000132595	0.00176111	-0.000129269	0.00163686
2.64	0.00176904	-9.03787e-06	-0.000133101	0.00176789	-0.000129763	0.00164312
2.65	0.00177583	-9.0688e-06	-0.000133607	0.00177466	-0.000130257	0.00164939
2.66	0.00178261	-9.09969e-06	-0.000134113	0.00178144	-0.000130751	0.00165566
2.67	0.00178939	-9.13054e-06	-0.000134619	0.00178822	-0.000131245	0.00166193
2.68	0.00179618	-9.16135e-06	-0.000135125	0.001795	-0.00013174	0.0016682
2.69	0.00180297	-9.19212e-06	-0.000135631	0.00180179	-0.000132234	0.00167447
2.7	0.00180975	-9.22285e-06	-0.000136137	0.00180857	-0.000132728	0.00168075
2.71	0.00181654	-9.25354e-06	-0.000136644	0.00181535	-0.000133222	0.00168702
2.72	0.00182333	-9.28419e-06	-0.00013715	0.00182214	-0.000133716	0.00169329
2.73	0.00183012	-9.31479e-06	-0.000137656	0.00182892	-0.00013421	0.00169956
2.74	0.00183691	-9.34536e-06	-0.000138162	0.00183571	-0.000134705	0.00170584
2.75	0.0018437	-9.37589e-06	-0.000138668	0.0018425	-0.000135199	0.00171211
2.76	0.0018505	-9.40637e-06	-0.000139175	0.00184928	-0.000135693	0.00171839
2.77	0.00185729	-9.43682e-06	-0.000139681	0.00185607	-0.000136187	0.00172466
2.78	0.00186408	-9.46722e-06	-0.000140187	0.00186286	-0.000136682	0.00173094
2.79	0.00187088	-9.49758e-06	-0.000140694	0.00186965	-0.000137176	0.00173721
2.8	0.00187768	-9.5279e-06	-0.0001412	0.00187645	-0.00013767	0.00174349
2.81	0.00188448	-9.55818e-06	-0.000141706	0.00188324	-0.000138165	0.00174977
2.82	0.00189127	-9.58841e-06	-0.000142213	0.00189003	-0.000138659	0.00175605
2.83	0.00189807	-9.6186e-06	-0.000142719	0.00189683	-0.000139154	0.00176233
2.84	0.00190488	-9.64876e-06	-0.000143226	0.00190362	-0.000139648	0.0017686
2.85	0.00191168	-9.67886e-06	-0.000143732	0.00191042	-0.000140143	0.00177488
2.86	0.00191848	-9.70893e-06	-0.000144239	0.00191722	-0.000140637	0.00178116
2.87	0.00192528	-9.73895e-06	-0.000144745	0.00192402	-0.000141132	0.00178745
2.88	0.00193209	-9.76893e-06	-0.000145252	0.00193082	-0.000141627	0.00179373
2.89	0.00193889	-9.79887e-06	-0.000145758	0.00193762	-0.000142121	0.00180001
2.9	0.0019457	-9.82876e-06	-0.000146265	0.00194442	-0.000142616	0.00180629
2.91	0.00195251	-9.85861e-06	-0.000146772	0.00195123	-0.00014311	0.00181257
2.92	0.00195932	-9.88841e-06	-0.000147278	0.00195803	-0.000143605	0.00181886
2.93	0.00196613	-9.91818e-06	-0.000147785	0.00196483	-0.0001441	0.00182514
2.94	0.00197294	-9.94789e-06	-0.000148292	0.00197164	-0.000144595	0.00183143
2.95	0.00197975	-9.97757e-06	-0.000148799	0.00197845	-0.000145089	0.00183771
2.96	0.00198656	-1.00072e-05	-0.000149305	0.00198526	-0.000145584	0.001844
2.97	0.00199338	-1.00368e-05	-0.000149812	0.00199207	-0.000146079	0.00185028
2.98	0.00200019	-1.00663e-05	-0.000150319	0.00199888	-0.000146574	0.00185657
2.99	0.00200701	-1.00958e-05	-0.000150826	0.00200569	-0.000147069	0.00186286
3	0.00201383	-1.01253e-05	-0.000151333	0.0020125	-0.000147564	0.00186915
3.01	0.00202064	-1.01547e-05	-0.00015184	0.00201931	-0.000148059	0.00187544
3.02	0.00202746	-1.0184e-05	-0.000152346	0.00202613	-0.000148553	0.00188172
3.03	0.00203428	-1.02133e-05	-0.000152853	0.00203294	-0.000149048	0.00188801
3.04	0.00204111	-1.02426e-05	-0.00015336	0.00203976	-0.000149543	0.0018943
3.05	0.00204793	-1.02718e-05	-0.000153867	0.00204658	-0.000150038	0.0019006
3.06	0.00205475	-1.0301e-05	-0.000154374	0.0020534	-0.000150533	0.00190689
3.07	0.00206158	-1.03301e-05	-0.000154881	0.00206022	-0.000151029	0.00191318
3.08	0.0020684	-1.03592e-05	-0.000155389	0.00206704	-0.000151524	0.00191947
3.09	0.00207523	-1.03883e-05	-0.000155896	0.00207386	-0.000152019	0.00192577
3.1	0.00208206	-1.04173e-05	-0.000156403	0.00208068	-0.000152514	0.00193206
3.11	0.00208888	-1.04462e-05	-0.00015691	0.0020875	-0.000153009	0.00193835
3.12	0.00209571	-1.04751e-05	-0.000157417	0.00209433	-0.000153504	0.00194465
3.13	0.00210255	-1.0504e-05	-0.000157924	0.00210116	-0.000153999	0.00195095
3.14	0.00210938	-1.05328e-05	-0.000158432	0.00210798	-0.000154495	0.00195724
3.15	0.00211621	-1.05615e-05	-0.000158939	0.00211481	-0.00015499	0.00196354
3.16	0.00212305	-1.05902e-05	-0.000159446	0.00212164	-0.000155485	0.00196984
3.17	0.00212988	-1.06189e-05	-0.000159954	0.00212847	-0.00015598	0.00197614
3.18	0.00213672	-1.06475e-05	-0.000160461	0.0021353	-0.000156476	0.00198243
3.19	0.00214356	-1.06761e-05	-0.000160968	0.00214214	-0.000156971	0.00198873
3.2	0.00215039	-1.07046e-05	-0.000161476	0.00214897	-0.000157466	0.00199503
3.21	0.00215723	-1.07331e-05	-0.000161983	0.00215581	-0.000157962	0.00200133
3.22	0.00216408	-1.07615e-05	-0.000162491	0.00216264	-0.000158457	0.00200764
3.23	0.00217092	-1.07899e-05	-0.000162998	0.00216948	-0.000158953	0.00201394
3.24	0.00217776	-1.08182e-05	-0.000163506	0.00217632	-0.000159448	0.00202024
3.25	0.00218461	-1.08465e-05	-0.000164013	0.00218316	-0.000159943	0.00202654
3.26	0.00219145	-1.08747e-05	-0.000164521	0.00219	-0.000160439	0.00203285
3.27	0.0021983	-1.09029e-05	-0.000165028	0.00219684	-0.000160934	0.00203915
3.28	0.00220515	-1.0931e-05	-0.000165536	0.00220368	-0.00016143	0.00204546
3.29	0.002212	-1.09591e-05	-0.000166044	0.00221053	-0.000161926	0.00205176
3.3	0.00221885	-1.09871e-05	-0.000166551	0.00221737	-0.000162421	0.00205807
3.31	0.0022257	-1.10151e-05	-0.000167059	0.00222422	-0.000162917	0.00206438
3.32	0.00223255	-1.1043e-05	-0.000167567	0.00223106	-0.000163412	0.00207068
3.33	0.0022394	-1.10709e-05	-0.000168075	0.00223791	-0.000163908	0.00207699
3.34	0.00224626	-1.10987e-05	-0.000168582	0.00224476	-0.000164404	0.0020833
3.35	0.00225311	-1.11265e-05	-0.00016909	0.00225161	-0.000164899	0.00208961
3.36	0.00225997	-1.11542e-05	-0.000169598	0.00225847	-0.000165395	0.00209592
3.37	0.00226683	-1.11819e-05	-0.000170106	0.00226532	-0.000165891	0.00210223
3.38	0.00227369	-1.12095e-05	-0.000170614	0.00227217	-0.000166386	0.00210854
